,data_jogo,liga,temporada,local,id_time_casa,time_casa,id_time_fora,time_fora,gols_casa,gols_fora,empate,vitoria_casa,vitoria_fora
4426,2019-12-18 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,65,1. FC Köln,2,1,0.0,1.0,0.0
4427,2019-12-18 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,40,FC Bayern München,0,1,0.0,0.0,1.0
4428,2019-12-20 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,7,Borussia Dortmund,0,1,0.0,0.0,1.0
4429,2019-12-21 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,131,VfL Wolfsburg,0,0,1.0,0.0,0.0
4430,2019-12-21 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,95,FC Augsburg,0,1,0.0,0.0,1.0
4431,2019-12-21 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,6,Bayer Leverkusen,0,0,1.0,0.0,0.0
4432,2019-12-21 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,112,SC Freiburg,1,0,0.0,1.0,0.0
4433,2019-12-21 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,134,Werder Bremen,1,0,0.0,1.0,0.0
4434,2019-12-21 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,87,Borussia Mönchengladbach,0,0,1.0,0.0,0.0
4435,2019-12-22 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,80,1. FC Union Berlin,1,0,0.0,1.0,0.0
4436,2019-12-22 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0
4437,2020-01-17 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,87,Borussia Mönchengladbach,0,0,1.0,0.0,0.0
4438,2020-01-18 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,91,Eintracht Frankfurt,0,1,0.0,0.0,1.0
4439,2020-01-18 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,134,Werder Bremen,0,0,1.0,0.0,0.0
4440,2020-01-18 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,112,SC Freiburg,0,2,0.0,0.0,1.0
4441,2020-01-18 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,7,Borussia Dortmund,1,0,0.0,1.0,0.0
4442,2020-01-18 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,131,VfL Wolfsburg,2,0,0.0,1.0,0.0
4443,2020-01-18 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,80,1. FC Union Berlin,0,1,0.0,0.0,1.0
4444,2020-01-19 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,40,FC Bayern München,0,0,1.0,0.0,0.0
4445,2020-01-19 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,6,Bayer Leverkusen,0,3,0.0,0.0,1.0
4446,2020-01-24 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,65,1. FC Köln,2,0,0.0,1.0,0.0
4447,2020-01-25 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,81,1. FSV Mainz 05,1,1,1.0,0.0,0.0
4448,2020-01-25 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,54,Hertha BSC,0,0,1.0,0.0,0.0
4449,2020-01-25 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,1635,RB Leipzig,0,0,1.0,0.0,0.0
4450,2020-01-25 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,31,SC Paderborn 07,0,0,1.0,0.0,0.0
4451,2020-01-25 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,80,1. FC Union Berlin,95,FC Augsburg,0,0,1.0,0.0,0.0
